parent,name,size,type
commands,hash.py,1703,file
commands,help.py,1132,file
commands,index.py,4762,file
commands,inspect.py,3374,file
commands,install.py,31726,file
commands,list.py,12343,file
commands,search.py,5697,file
commands,show.py,6129,file
commands,uninstall.py,3680,file
commands,wheel.py,7396,file
commands,__init__.py,3882,file
_internal,configuration.py,13529,file
_internal,distributions,10466,dir
distributions,base.py,1221,file
distributions,installed.py,729,file
distributions,sdist.py,6494,file
distributions,wheel.py,1164,file
distributions,__init__.py,858,file
_internal,exceptions.py,20942,file
_internal,index,60686,dir
index,collector.py,16503,file
index,package_finder.py,37596,file
index,sources.py,6557,file
index,__init__.py,30,file
_internal,locations,34294,dir
locations,base.py,2573,file
locations,_distutils.py,6302,file
locations,_sysconfig.py,7867,file
locations,__init__.py,17552,file
_internal,main.py,340,file
_internal,metadata,59552,dir
metadata,base.py,25277,file
metadata,importlib,17627,dir
importlib,_compat.py,1882,file
importlib,_dists.py,8181,file
importlib,_envs.py,7457,file
importlib,__init__.py,107,file
metadata,pkg_resources.py,9773,file
metadata,_json.py,2595,file
metadata,__init__.py,4280,file
_internal,models,45927,dir
models,candidate.py,990,file
models,direct_url.py,5877,file
models,format_control.py,2520,file
models,index.py,1030,file
models,installation_report.py,2617,file
models,link.py,18083,file
models,scheme.py,738,file
models,search_scope.py,4644,file
models,selection_prefs.py,1907,file
models,target_python.py,3858,file
models,wheel.py,3600,file
models,__init__.py,63,file
_internal,network,52426,dir
network,auth.py,12190,file
network,cache.py,2145,file
network,download.py,6096,file
network,lazy_wheel.py,7638,file
network,session.py,18443,file
network,utils.py,4073,file
network,xmlrpc.py,1791,file
network,__init__.py,50,file
_internal,operations,87624,dir
operations,build,14723,dir
build,build_tracker.py,4133,file
build,metadata.py,1404,file
build,metadata_editable.py,1456,file
build,metadata_legacy.py,2198,file
build,wheel.py,1063,file
build,wheel_editable.py,1405,file
build,wheel_legacy.py,3064,file
build,__init__.py,0,file
operations,check.py,5109,file
operations,freeze.py,9784,file
operations,install,32917,dir
install,editable_legacy.py,1354,file
install,legacy.py,4105,file
install,wheel.py,27407,file
install,__init__.py,51,file
operations,prepare.py,25091,file
operations,__init__.py,0,file
_internal,pyproject.py,7074,file
_internal,req,99567,dir
req,constructors.py,16611,file
req,req_file.py,17646,file
req,req_install.py,35600,file
req,req_set.py,2858,file
req,req_uninstall.py,24045,file
req,__init__.py,2807,file
_internal,resolution,111906,dir
resolution,base.py,583,file
resolution,legacy,24129,dir
legacy,resolver.py,24129,file
legacy,__init__.py,0,file
resolution,resolvelib,87194,dir
resolvelib,base.py,5220,file
resolvelib,candidates.py,18963,file
resolvelib,factory.py,27878,file
resolvelib,found_candidates.py,5705,file
resolvelib,provider.py,9914,file
resolvelib,reporter.py,2526,file
resolvelib,requirements.py,5455,file
resolvelib,resolver.py,11533,file
resolvelib,__init__.py,0,file
resolution,__init__.py,0,file
_internal,self_outdated_check.py,8020,file
_internal,utils,118977,dir
utils,appdirs.py,1665,file
utils,compat.py,1884,file
utils,compatibility_tags.py,5377,file
utils,datetime.py,242,file
utils,deprecation.py,5764,file
utils,direct_url_helpers.py,3206,file
utils,distutils_args.py,1115,file
utils,egg_link.py,2203,file
utils,encoding.py,1169,file
utils,entrypoints.py,3064,file
utils,filesystem.py,5122,file
utils,filetypes.py,716,file
utils,glibc.py,3110,file
utils,hashes.py,4831,file
utils,inject_securetransport.py,795,file
utils,logging.py,11632,file
utils,misc.py,21617,file
utils,models.py,1193,file
utils,packaging.py,2108,file
utils,setuptools_build.py,5662,file
utils,subprocess.py,9197,file
utils,temp_dir.py,7702,file
utils,unpacking.py,8821,file
utils,urls.py,1759,file
utils,virtualenv.py,3459,file
utils,wheel.py,4549,file
utils,_log.py,1015,file
utils,__init__.py,0,file
_internal,vcs,62007,dir
vcs,bazaar.py,3518,file
vcs,git.py,18116,file
vcs,mercurial.py,5238,file
vcs,subversion.py,11728,file
vcs,versioncontrol.py,22811,file
vcs,__init__.py,596,file
_internal,wheel_builder.py,13079,file
_internal,__init__.py,573,file
pip,_vendor,5808504,dir
_vendor,cachecontrol,48131,dir
cachecontrol,adapter.py,5033,file
cachecontrol,cache.py,1535,file
cachecontrol,caches,6546,dir
caches,file_cache.py,5271,file
caches,redis_cache.py,1033,file
caches,__init__.py,242,file
cachecontrol,compat.py,778,file
cachecontrol,controller.py,16416,file
cachecontrol,filewrapper.py,3946,file
cachecontrol,heuristics.py,4154,file
cachecontrol,serialize.py,7105,file
cachecontrol,wrapper.py,774,file
cachecontrol,_cmd.py,1379,file
cachecontrol,__init__.py,465,file
_vendor,certifi,290998,dir
certifi,cacert.pem,286370,file
certifi,core.py,4279,file
certifi,__init__.py,94,file
certifi,__main__.py,255,file
_vendor,chardet,1092504,dir
chardet,big5freq.py,31274,file
chardet,big5prober.py,1741,file
chardet,chardistribution.py,9608,file
chardet,charsetgroupprober.py,3817,file
chardet,charsetprober.py,4801,file
chardet,cli,2406,dir
cli,chardetect.py,2406,file
cli,__init__.py,0,file
chardet,codingstatemachine.py,3559,file
chardet,cp949prober.py,1838,file
chardet,enums.py,1619,file
chardet,escprober.py,3864,file
chardet,escsm.py,12021,file
chardet,eucjpprober.py,3676,file
chardet,euckrfreq.py,13566,file
chardet,euckrprober.py,1731,file
chardet,euctwfreq.py,36913,file
chardet,euctwprober.py,1731,file
chardet,gb2312freq.py,20735,file
chardet,gb2312prober.py,1737,file
chardet,hebrewprober.py,13919,file
chardet,jisfreq.py,25796,file
chardet,johabfreq.py,42498,file
chardet,johabprober.py,1730,file
chardet,jpcntx.py,26797,file
chardet,langbulgarianmodel.py,104562,file
chardet,langgreekmodel.py,98484,file
chardet,langhebrewmodel.py,98196,file
chardet,langhungarianmodel.py,101363,file
chardet,langrussianmodel.py,128035,file
chardet,langthaimodel.py,102774,file
chardet,langturkishmodel.py,95372,file
chardet,latin1prober.py,5260,file
chardet,mbcharsetprober.py,3367,file
chardet,mbcsgroupprober.py,2056,file
chardet,mbcssm.py,30068,file
chardet,metadata,13280,dir
metadata,languages.py,13280,file
metadata,__init__.py,0,file
chardet,sbcharsetprober.py,6199,file
chardet,sbcsgroupprober.py,4129,file
chardet,sjisprober.py,3749,file
chardet,universaldetector.py,13288,file
chardet,utf1632prober.py,8289,file
chardet,utf8prober.py,2709,file
chardet,version.py,242,file
chardet,__init__.py,3705,file
_vendor,colorama,27348,dir
colorama,ansi.py,2522,file
colorama,ansitowin32.py,10830,file
colorama,initialise.py,1915,file
colorama,win32.py,5404,file
colorama,winterm.py,6438,file
colorama,__init__.py,239,file
_vendor,distlib,1139219,dir
distlib,compat.py,41259,file
distlib,database.py,51697,file
distlib,index.py,20834,file
distlib,locators.py,51991,file
distlib,manifest.py,14811,file
distlib,markers.py,5058,file
distlib,metadata.py,39801,file
distlib,resources.py,10820,file
distlib,scripts.py,18102,file
distlib,t32.exe,97792,file
distlib,t64-arm.exe,182784,file
distlib,t64.exe,108032,file
distlib,util.py,66262,file
distlib,version.py,23513,file
distlib,w32.exe,91648,file
distlib,w64-arm.exe,168448,file
distlib,w64.exe,101888,file
distlib,wheel.py,43898,file
distlib,__init__.py,581,file
_vendor,distro,49886,dir
distro,distro.py,48841,file
distro,__init__.py,981,file
distro,__main__.py,64,file
_vendor,idna,270310,dir
idna,codec.py,3374,file
idna,compat.py,321,file
idna,core.py,12950,file
idna,idnadata.py,44375,file
idna,intranges.py,1881,file
idna,package_data.py,21,file
idna,uts46data.py,206539,file
idna,__init__.py,849,file
_vendor,msgpack,42850,dir
msgpack,exceptions.py,1081,file
msgpack,ext.py,6080,file
msgpack,fallback.py,34557,file
msgpack,__init__.py,1132,file
_vendor,packaging,96292,dir
packaging,markers.py,8487,file
packaging,requirements.py,4676,file
packaging,specifiers.py,30110,file
packaging,tags.py,15699,file
packaging,utils.py,4200,file
