parent,name,size,type
setuptools,monkey.py,4857,file
setuptools,msvc.py,47724,file
setuptools,namespaces.py,3093,file
setuptools,package_index.py,40329,file
setuptools,py34compat.py,245,file
setuptools,sandbox.py,14348,file
setuptools,script (dev).tmpl,218,file
setuptools,script.tmpl,138,file
setuptools,unicode_utils.py,941,file
setuptools,version.py,144,file
setuptools,wheel.py,8376,file
setuptools,windows_support.py,718,file
setuptools,_deprecation_warning.py,218,file
setuptools,_distutils,604933,dir
_distutils,archive_util.py,8603,file
_distutils,bcppcompiler.py,14789,file
_distutils,ccompiler.py,47369,file
_distutils,cmd.py,17973,file
_distutils,command,208459,dir
command,bdist.py,5441,file
command,bdist_dumb.py,4701,file
command,bdist_rpm.py,22051,file
command,build.py,5617,file
command,build_clib.py,7728,file
command,build_ext.py,31558,file
command,build_py.py,16568,file
command,build_scripts.py,5624,file
command,check.py,4888,file
command,clean.py,2603,file
command,config.py,13137,file
command,install.py,30221,file
command,install_data.py,2779,file
command,install_egg_info.py,2785,file
command,install_headers.py,1189,file
command,install_lib.py,8434,file
command,install_scripts.py,1936,file
command,py37compat.py,672,file
command,register.py,11765,file
command,sdist.py,19241,file
command,upload.py,7477,file
command,_framework_compat.py,1614,file
command,__init__.py,430,file
_distutils,config.py,4920,file
_distutils,core.py,9451,file
_distutils,cygwinccompiler.py,12537,file
_distutils,debug.py,139,file
_distutils,dep_util.py,3423,file
_distutils,dir_util.py,8082,file
_distutils,dist.py,50186,file
_distutils,errors.py,3589,file
_distutils,extension.py,10270,file
_distutils,fancy_getopt.py,17910,file
_distutils,filelist.py,13713,file
_distutils,file_util.py,8226,file
_distutils,log.py,1972,file
_distutils,msvc9compiler.py,30235,file
_distutils,msvccompiler.py,23602,file
_distutils,py38compat.py,217,file
_distutils,py39compat.py,639,file
_distutils,spawn.py,3517,file
_distutils,sysconfig.py,18858,file
_distutils,text_file.py,12096,file
_distutils,unixccompiler.py,15641,file
_distutils,util.py,18128,file
_distutils,version.py,12952,file
_distutils,versionpredicate.py,5248,file
_distutils,_collections.py,1330,file
_distutils,_functools.py,411,file
_distutils,_macos_compat.py,239,file
_distutils,_msvccompiler.py,19672,file
_distutils,__init__.py,537,file
setuptools,_entry_points.py,1972,file
setuptools,_imp.py,2392,file
setuptools,_importlib.py,1311,file
setuptools,_itertools.py,675,file
setuptools,_path.py,749,file
setuptools,_reqs.py,501,file
setuptools,_vendor,839953,dir
_vendor,importlib_metadata,42846,dir
importlib_metadata,_adapters.py,1862,file
importlib_metadata,_collections.py,743,file
importlib_metadata,_compat.py,1828,file
importlib_metadata,_functools.py,2895,file
importlib_metadata,_itertools.py,2068,file
importlib_metadata,_meta.py,1154,file
importlib_metadata,_text.py,2166,file
importlib_metadata,__init__.py,30130,file
_vendor,importlib_resources,25123,dir
importlib_resources,abc.py,3886,file
importlib_resources,readers.py,3566,file
importlib_resources,simple.py,2836,file
importlib_resources,_adapters.py,4504,file
importlib_resources,_common.py,2741,file
importlib_resources,_compat.py,2706,file
importlib_resources,_itertools.py,884,file
importlib_resources,_legacy.py,3494,file
importlib_resources,__init__.py,506,file
_vendor,jaraco,34449,dir
jaraco,context.py,5420,file
jaraco,functools.py,13512,file
jaraco,text,15517,dir
text,__init__.py,15517,file
jaraco,__init__.py,0,file
_vendor,more_itertools,134297,dir
more_itertools,more.py,117959,file
more_itertools,recipes.py,16256,file
more_itertools,__init__.py,82,file
_vendor,ordered_set.py,15130,file
_vendor,packaging,96322,dir
packaging,markers.py,8493,file
packaging,requirements.py,4700,file
packaging,specifiers.py,30110,file
packaging,tags.py,15699,file
packaging,utils.py,4200,file
packaging,version.py,14665,file
packaging,_manylinux.py,11488,file
packaging,_musllinux.py,4378,file
packaging,_structures.py,1431,file
packaging,__about__.py,661,file
packaging,__init__.py,497,file
_vendor,pyparsing,369986,dir
pyparsing,actions.py,6426,file
pyparsing,common.py,12936,file
pyparsing,core.py,213310,file
pyparsing,diagram,23668,dir
diagram,__init__.py,23668,file
pyparsing,exceptions.py,9023,file
pyparsing,helpers.py,39129,file
pyparsing,results.py,25341,file
pyparsing,testing.py,13402,file
pyparsing,unicode.py,10787,file
pyparsing,util.py,6805,file
pyparsing,__init__.py,9159,file
_vendor,tomli,26226,dir
tomli,_parser.py,22633,file
tomli,_re.py,2943,file
tomli,_types.py,254,file
tomli,__init__.py,396,file
_vendor,typing_extensions.py,87149,file
_vendor,zipp.py,8425,file
_vendor,__init__.py,0,file
setuptools,__init__.py,8429,file
site-packages,setuptools-65.5.1.dist-info,45895,dir
setuptools-65.5.1.dist-info,entry_points.txt,2740,file
setuptools-65.5.1.dist-info,INSTALLER,5,file
setuptools-65.5.1.dist-info,LICENSE,1050,file
setuptools-65.5.1.dist-info,METADATA,6311,file
setuptools-65.5.1.dist-info,RECORD,35656,file
setuptools-65.5.1.dist-info,top_level.txt,41,file
setuptools-65.5.1.dist-info,WHEEL,92,file
site-packages,setuptools-65.5.1.virtualenv,0,file
site-packages,wheel,95910,dir
wheel,bdist_wheel.py,19293,file
wheel,cli,15853,dir
cli,convert.py,9427,file
cli,pack.py,3383,file
cli,unpack.py,659,file
cli,__init__.py,2384,file
wheel,macosx_libfile.py,16145,file
wheel,metadata.py,3727,file
wheel,util.py,621,file
wheel,vendored,31475,dir
vendored,packaging,31475,dir
packaging,tags.py,15612,file
packaging,_manylinux.py,11489,file
packaging,_musllinux.py,4374,file
packaging,__init__.py,0,file
vendored,__init__.py,0,file
wheel,wheelfile.py,7536,file
wheel,_setuptools_logging.py,746,file
wheel,__init__.py,59,file
wheel,__main__.py,455,file
site-packages,wheel-0.38.4.dist-info,6262,dir
wheel-0.38.4.dist-info,entry_points.txt,107,file
wheel-0.38.4.dist-info,INSTALLER,5,file
wheel-0.38.4.dist-info,LICENSE.txt,1107,file
wheel-0.38.4.dist-info,METADATA,2110,file
wheel-0.38.4.dist-info,RECORD,2835,file
wheel-0.38.4.dist-info,top_level.txt,6,file
wheel-0.38.4.dist-info,WHEEL,92,file
site-packages,wheel-0.38.4.virtualenv,0,file
site-packages,_distutils_hack,13762,dir
_distutils_hack,override.py,44,file
_distutils_hack,__init__.py,6128,file
_distutils_hack,__pycache__,7590,dir
__pycache__,__init__.cpython-310.pyc,7590,file
site-packages,_virtualenv.pth,18,file
site-packages,_virtualenv.py,5770,file
site-packages,__pycache__,4056,dir
__pycache__,_virtualenv.cpython-310.pyc,4056,file
venv,pyvenv.cfg,411,file
venv,Scripts,1406295,dir
Scripts,activate,2176,file
Scripts,activate.bat,1029,file
Scripts,activate.fish,3053,file
Scripts,activate.nu,2625,file
Scripts,activate.ps1,1758,file
Scripts,activate_this.py,1169,file
Scripts,deactivate.bat,511,file
Scripts,deactivate.nu,682,file
Scripts,pip-3.10.exe,108431,file
Scripts,pip.exe,108431,file
Scripts,pip3.10.exe,108431,file
Scripts,pip3.exe,108431,file
Scripts,pydoc.bat,24,file
Scripts,python.exe,268568,file
Scripts,pythonw.exe,257304,file
Scripts,wheel-3.10.exe,108418,file
Scripts,wheel.exe,108418,file
Scripts,wheel3.10.exe,108418,file
Scripts,wheel3.exe,108418,file
